image,severity_count,severity_label,prob_crack,prob_dent,prob_paint_off,prob_scratch,pred_crack,pred_dent,pred_paint_off,pred_scratch,rc_impact_force,rc_metal_fatigue,rc_corrosion,dominant_cause
causal_data\aircraft damage\test\images\151_12_JPG_jpg.rf.97da399acc37dc7a989f52f658e11be4.jpg,2,Minor — 2 damage instance(s),0.5745,0.9162,0.0008,0.0001,1,1,0,0,0.6077,0.6161,0.4865,metal_fatigue
causal_data\aircraft damage\test\images\151_15_JPG_jpg.rf.b40b2915ed9c7fd6bfa8667f0fc2a638.jpg,3,Moderate — 3 damage instances,0.0081,0.9971,0.0004,0.0033,0,1,0,0,0.6797,0.5400,0.4692,impact_force
causal_data\aircraft damage\test\images\151_17_JPG_jpg.rf.f65a3771541e0009e021ed12d5dbbe78.jpg,3,Moderate — 3 damage instances,0.9361,0.8222,0.0002,0.0000,1,1,0,0,0.6048,0.6409,0.5143,metal_fatigue
causal_data\aircraft damage\test\images\154_13_JPG_jpg.rf.50d0ae522dc4b16cc0ac30503545fc29.jpg,2,Minor — 2 damage instance(s),0.0114,0.9963,0.0005,0.0035,0,1,0,0,0.6667,0.5351,0.4585,impact_force
causal_data\aircraft damage\test\images\155_14_JPG_jpg.rf.8f5cf621350538fb77a0fb2da650ee31.jpg,1,Minor — 1 damage instance(s),0.9078,0.3838,0.0030,0.0000,1,0,0,0,0.5702,0.6335,0.4756,metal_fatigue
causal_data\aircraft damage\test\images\155_17_JPG_jpg.rf.3fd19e28e5dc132a8d1da6544a75e957.jpg,2,Minor — 2 damage instance(s),0.9459,0.7201,0.0004,0.0000,1,1,0,0,0.5876,0.6282,0.4890,metal_fatigue
causal_data\aircraft damage\test\images\155_7_JPG_jpg.rf.bbb423a9effeeb7a4d2e6d814ce025d8.jpg,3,Moderate — 3 damage instances,0.8529,0.9539,0.0001,0.0000,1,1,0,0,0.6223,0.5756,0.4832,impact_force
causal_data\aircraft damage\test\images\156_2_JPG_jpg.rf.5c2eb3124a31da76b9bd81a1bb481c2f.jpg,1,Minor — 1 damage instance(s),0.0129,0.9936,0.0011,0.0064,0,1,0,0,0.6498,0.5359,0.4406,impact_force
causal_data\aircraft damage\test\images\157_22_JPG_jpg.rf.cb5be677f5cdd01b2d0ffc3e7c55f1fa.jpg,1,Minor — 1 damage instance(s),0.9849,0.0173,0.0072,0.0000,1,0,0,0,0.5195,0.7056,0.5013,metal_fatigue
causal_data\aircraft damage\test\images\157_5_JPG_jpg.rf.0943918bc141a4cdf04802465874e0c7.jpg,1,Minor — 1 damage instance(s),0.9876,0.0213,0.0051,0.0000,1,0,0,0,0.5318,0.7022,0.5119,metal_fatigue
causal_data\aircraft damage\test\images\158_0_JPG_jpg.rf.9cce7b3eb8d402e719c0095aec1a1b66.jpg,2,Minor — 2 damage instance(s),0.8866,0.8950,0.0003,0.0000,1,1,0,0,0.6054,0.5900,0.4806,impact_force
causal_data\aircraft damage\test\images\158_12_JPG_jpg.rf.a48d3b8eb9778c0dfb9ce3dbee8bd111.jpg,1,Minor — 1 damage instance(s),0.9887,0.0217,0.0044,0.0000,1,0,0,0,0.5154,0.7050,0.4943,metal_fatigue
causal_data\aircraft damage\test\images\158_20_JPG_jpg.rf.bd63ec99083fefa11f47c2b96481c5e0.jpg,2,Minor — 2 damage instance(s),0.9348,0.6920,0.0006,0.0000,1,1,0,0,0.5846,0.6168,0.4793,metal_fatigue
causal_data\aircraft damage\test\images\158_25_JPG_jpg.rf.a2a9301cb8c6b91df7e77e6350d1e82e.jpg,1,Minor — 1 damage instance(s),0.1115,0.8405,0.0073,0.0018,0,1,0,0,0.5922,0.6059,0.4552,metal_fatigue
causal_data\aircraft damage\test\images\158_8_JPG_jpg.rf.82c0d52b98446dd57455cca27ab35a6a.jpg,1,Minor — 1 damage instance(s),0.0128,0.9900,0.0019,0.0094,0,1,0,0,0.6299,0.5490,0.4317,impact_force
causal_data\aircraft damage\test\images\160_10_JPG_jpg.rf.7292849f485bc482b7e1e267155664d7.jpg,2,Minor — 2 damage instance(s),0.3816,0.9789,0.0004,0.0002,0,1,0,0,0.6204,0.5707,0.4656,impact_force
causal_data\aircraft damage\test\images\160_19_JPG_jpg.rf.920273f736bad231b25dd90edf1de6aa.jpg,2,Minor — 2 damage instance(s),0.0266,0.9950,0.0006,0.0020,0,1,0,0,0.6546,0.5361,0.4503,impact_force
causal_data\aircraft damage\test\images\160_21_JPG_jpg.rf.32df86b9b9c816767335f6de74a654c3.jpg,2,Minor — 2 damage instance(s),0.0214,0.9955,0.0005,0.0023,0,1,0,0,0.6593,0.5333,0.4513,impact_force
causal_data\aircraft damage\test\images\160_25_JPG_jpg.rf.3904e0bc1b2cb7cb94e4c09ec35930d9.jpg,1,Minor — 1 damage instance(s),0.0075,0.9689,0.0094,0.0478,0,1,0,0,0.6243,0.5608,0.4441,impact_force
causal_data\aircraft damage\test\images\160_6_JPG_jpg.rf.44ec4d10a2f46b6c5f7a5960de2be325.jpg,2,Minor — 2 damage instance(s),0.0239,0.9957,0.0005,0.0019,0,1,0,0,0.6607,0.5348,0.4544,impact_force
causal_data\aircraft damage\test\images\161_12_JPG_jpg.rf.e2b3d12a0fe1e42b500e57da01d8619e.jpg,3,Moderate — 3 damage instances,0.8043,0.9470,0.0002,0.0000,1,1,0,0,0.6130,0.5971,0.4848,impact_force
causal_data\aircraft damage\test\images\161_16_JPG_jpg.rf.baa9d83f5e890014affa5d4818ef7851.jpg,2,Minor — 2 damage instance(s),0.5091,0.9826,0.0002,0.0001,1,1,0,0,0.6315,0.5551,0.4634,impact_force
causal_data\aircraft damage\test\images\161_19_JPG_jpg.rf.e7b91ff6bd157bacd9028a655e2191ab.jpg,2,Minor — 2 damage instance(s),0.2453,0.9895,0.0003,0.0002,0,1,0,0,0.6406,0.5497,0.4588,impact_force
causal_data\aircraft damage\test\images\162_0_JPG_jpg.rf.d2369465b0fe8e4afcc27de9ed124cbc.jpg,2,Minor — 2 damage instance(s),0.9902,0.0212,0.0034,0.0000,1,0,0,0,0.5327,0.7097,0.5184,metal_fatigue
causal_data\aircraft damage\test\images\162_22_JPG_jpg.rf.80adb9d761378b9743ca2654c3928f55.jpg,2,Minor — 2 damage instance(s),0.9891,0.0200,0.0040,0.0000,1,0,0,0,0.5378,0.7095,0.5246,metal_fatigue
causal_data\aircraft damage\test\images\164_7_JPG_jpg.rf.78b4c17edd7c8aa4726dc15ba268df7e.jpg,2,Minor — 2 damage instance(s),0.9870,0.0367,0.0036,0.0000,1,0,0,0,0.5452,0.6925,0.5151,metal_fatigue
causal_data\aircraft damage\test\images\165_0_JPG_jpg.rf.81a5901de5d6cc629f5271e994b1868c.jpg,3,Moderate — 3 damage instances,0.6315,0.9808,0.0001,0.0000,1,1,0,0,0.6404,0.5696,0.4865,impact_force
causal_data\aircraft damage\test\images\165_2_JPG_jpg.rf.a48d33b93b666b8398e7f20188d1876a.jpg,3,Moderate — 3 damage instances,0.7392,0.9749,0.0001,0.0000,1,1,0,0,0.6369,0.5785,0.4936,impact_force
causal_data\aircraft damage\test\images\166_18_JPG_jpg.rf.03bc3396bc8e77ae28b34d5c296529a5.jpg,1,Minor — 1 damage instance(s),0.0135,0.9939,0.0011,0.0069,0,1,0,0,0.6479,0.5249,0.4274,impact_force
causal_data\aircraft damage\test\images\166_20_JPG_jpg.rf.34bcd0a84b97fafa02a3636a1dad64c8.jpg,2,Minor — 2 damage instance(s),0.1409,0.9903,0.0004,0.0005,0,1,0,0,0.6342,0.5523,0.4511,impact_force
causal_data\aircraft damage\test\images\166_5_JPG_jpg.rf.fdf44bb5058f52983b750f494a426bf1.jpg,2,Minor — 2 damage instance(s),0.2130,0.9877,0.0004,0.0003,0,1,0,0,0.6306,0.5613,0.4561,impact_force
causal_data\aircraft damage\test\images\166_8_JPG_jpg.rf.97c80735de1142b2a325af88d411928a.jpg,3,Moderate — 3 damage instances,0.1855,0.9916,0.0003,0.0002,0,1,0,0,0.6504,0.5588,0.4746,impact_force
causal_data\aircraft damage\test\images\167_18_JPG_jpg.rf.07cb5a7578ca29c435ca2673a1fb8f9c.jpg,3,Moderate — 3 damage instances,0.8496,0.9570,0.0001,0.0000,1,1,0,0,0.6263,0.5877,0.4932,impact_force
causal_data\aircraft damage\test\images\167_20_JPG_jpg.rf.dba98afa126ee4e96d78e8eb188624d7.jpg,2,Minor — 2 damage instance(s),0.7649,0.9630,0.0002,0.0000,1,1,0,0,0.6258,0.5688,0.4776,impact_force
causal_data\aircraft damage\test\images\167_3_JPG_jpg.rf.61074ebebb5d22f12ab2e6d232af1ad0.jpg,2,Minor — 2 damage instance(s),0.8786,0.8762,0.0004,0.0000,1,1,0,0,0.5950,0.5915,0.4673,impact_force
causal_data\aircraft damage\test\images\167_4_JPG_jpg.rf.cadbdbbe8186c9713a51fe60cea44d97.jpg,2,Minor — 2 damage instance(s),0.9570,0.6909,0.0003,0.0000,1,1,0,0,0.5859,0.6219,0.4920,metal_fatigue
causal_data\aircraft damage\test\images\168_11_JPG_jpg.rf.f4d67216f0adad1d28357f3fa229d2ca.jpg,2,Minor — 2 damage instance(s),0.9597,0.3539,0.0013,0.0000,1,0,0,0,0.5841,0.6519,0.5065,metal_fatigue
causal_data\aircraft damage\test\images\168_14_JPG_jpg.rf.91e735b10d5e74d30a20752c9ccadf6e.jpg,1,Minor — 1 damage instance(s),0.0142,0.9932,0.0014,0.0094,0,1,0,0,0.6505,0.5208,0.4370,impact_force
causal_data\aircraft damage\test\images\168_15_JPG_jpg.rf.e8de8da7051404c7a569b066713107aa.jpg,1,Minor — 1 damage instance(s),0.9896,0.0297,0.0031,0.0000,1,0,0,0,0.5371,0.7025,0.5106,metal_fatigue
causal_data\aircraft damage\test\images\169_22_JPG_jpg.rf.3a3183bd22b042cff80338ad02b69973.jpg,2,Minor — 2 damage instance(s),0.9889,0.0287,0.0032,0.0000,1,0,0,0,0.5405,0.7018,0.5158,metal_fatigue
causal_data\aircraft damage\test\images\169_8_JPG_jpg.rf.a76a5590391f112803ccd61c391f9925.jpg,3,Moderate — 3 damage instances,0.9547,0.7479,0.0002,0.0000,1,1,0,0,0.5978,0.6365,0.5051,metal_fatigue
causal_data\aircraft damage\test\images\170_16_JPG_jpg.rf.952fb2e66753258c7340239f54088125.jpg,1,Minor — 1 damage instance(s),0.0124,0.9942,0.0011,0.0069,0,1,0,0,0.6487,0.5283,0.4326,impact_force
causal_data\aircraft damage\test\images\170_17_JPG_jpg.rf.9bd8faf4a9e6fbfbf493280bffd18530.jpg,3,Moderate — 3 damage instances,0.9557,0.6687,0.0003,0.0000,1,1,0,0,0.5921,0.6465,0.5092,metal_fatigue
causal_data\aircraft damage\test\images\170_23_JPG_jpg.rf.3d6a1ffa4d0c4bc094466b3cf4fa34e1.jpg,1,Minor — 1 damage instance(s),0.0105,0.9944,0.0011,0.0081,0,1,0,0,0.6515,0.5262,0.4334,impact_force
causal_data\aircraft damage\test\images\171_24_JPG_jpg.rf.f81a253f7e025f7ab4bf71a6d1652489.jpg,2,Minor — 2 damage instance(s),0.9379,0.5444,0.0012,0.0000,1,1,0,0,0.5786,0.6264,0.4809,metal_fatigue
causal_data\aircraft damage\test\images\171_5_JPG_jpg.rf.9a5f904790d6d5c8681f0b9e10b4b65d.jpg,2,Minor — 2 damage instance(s),0.0957,0.9924,0.0005,0.0007,0,1,0,0,0.6423,0.5458,0.4498,impact_force
causal_data\aircraft damage\test\images\173_23_JPG_jpg.rf.4a6eb0bdeb12b373001f58ac7fa49626.jpg,1,Minor — 1 damage instance(s),0.9891,0.0165,0.0052,0.0000,1,0,0,0,0.5182,0.7100,0.5030,metal_fatigue
causal_data\aircraft damage\test\images\173_24_JPG_jpg.rf.6327c752f80ee083e499e95eb7964606.jpg,1,Minor — 1 damage instance(s),0.2303,0.8731,0.0028,0.0005,0,1,0,0,0.5982,0.6130,0.4703,metal_fatigue
causal_data\aircraft damage\test\images\173_4_JPG_jpg.rf.44cd17db5fc64468294a62d0b1a91261.jpg,1,Minor — 1 damage instance(s),0.9863,0.0202,0.0061,0.0000,1,0,0,0,0.5282,0.7007,0.5049,metal_fatigue
causal_data\aircraft damage\test\images\173_7_JPG_jpg.rf.53ead6c0daa4eaece89e5a0281166581.jpg,1,Minor — 1 damage instance(s),0.9887,0.0174,0.0052,0.0000,1,0,0,0,0.5184,0.7079,0.5017,metal_fatigue
causal_data\aircraft damage\test\images\173_9_JPG_jpg.rf.fe825a3df27f42f5ffa7b51610275765.jpg,1,Minor — 1 damage instance(s),0.9892,0.0164,0.0051,0.0000,1,0,0,0,0.5185,0.7103,0.5038,metal_fatigue
causal_data\aircraft damage\test\images\174_23_JPG_jpg.rf.109122ff8dd625594d03d40e0bf1deae.jpg,2,Minor — 2 damage instance(s),0.0092,0.9961,0.0007,0.0053,0,1,0,0,0.6680,0.5273,0.4517,impact_force
causal_data\aircraft damage\test\images\174_6_JPG_jpg.rf.af6f21c5f9bd4b23201a84945b649188.jpg,2,Minor — 2 damage instance(s),0.0091,0.9961,0.0007,0.0052,0,1,0,0,0.6687,0.5273,0.4523,impact_force
causal_data\aircraft damage\test\images\176_11_JPG_jpg.rf.4c400157cf4143d590dfa76a1591c946.jpg,1,Minor — 1 damage instance(s),0.0244,0.9915,0.0012,0.0045,0,1,0,0,0.6359,0.5436,0.4341,impact_force
causal_data\aircraft damage\test\images\176_12_JPG_jpg.rf.3f3384ff41265a136ee4d30a0ce95791.jpg,1,Minor — 1 damage instance(s),0.0628,0.9745,0.0019,0.0023,0,1,0,0,0.6091,0.5813,0.4508,impact_force
